reviews,movie_id,usernames,ratings,binary_rating
"John Wick: Chapter 4Screenplay: John Wick movies didn't pay much attention to the script, except for the first movie. This movie gave more importance to the script than the last 2 movies. Since the duration is long, they have processed each character beautifully. The script isn't at the forefront, though.Acting: Actors in the movie have already proven themselves. It was all very good.Music: It was nice to hear the music from the old movies too. However, there was also new music. Every music was suitable for the stage and very good.Action: Although there were exaggerated scenes about action, it was better than all the first 3 movies. In particular, there is an action scene shot from the top. That scene is one of the best I've ever seen in the cinema. You enjoy each scene of the action separately. You have trouble sitting in the chair.Movie Duration: Even though the movie is long, you never notice it. It was a very moving movie.Overall: This movie is definitely worth watching. It might be the best movie of the series.",603692,EthicalAndroid,10.0,Positive
"Well it's not woke, and it's fun so... 10 stars, it achieved what it set out to do, entertain, and you can't ask for more than that.Sure, in the 90s it would have been... well, stupid, action movies really stank in the 90s. And in the 80s it would have had more of a plot and been a lot better...... but in 2023 ""Entertaining and politics free"" makes a movie into a masterpiece. Its wall to wall action, with only about 3% dedicated to plot and the only really thinking it requires you to do is wonder ""if there are so many assassins in the world, how is it a lucrative profession?""",603692,GenerationofSwine,10.0,Positive
"I don’t need to tell you that the violent action in “John Wick: Chapter 4” is over the top. If you’re aware of the popular neo-noir action thriller franchise, you know that already. If you’re a fan of the smartly dressed, ass kicking antihero known on the streets as the Baba Yaga, you aren’t going to be disappointed in this rowdy, unrestrained fourth chapter. The bar has been raised and effectively met, as this fast-paced film traverses the globe, provides a dose of pure adrenaline, and leaves the franchise’s highest body count in its wake.After being excommunicated and on the run from a network of bounty hunters, John Wick (Keanu Reeves) has had enough and just wants out of the criminal underworld forever. He tries to kill them all but in the process, discovers a path to defeating The High Table with the goal of finally securing his freedom. John visits former friends, alliances, and foes all over the world, bringing trouble to their doorstep. The lethal assassin fights his way through one by one, culminating in a final duel to the death.This is Reeves’ movie through and through, and he’s created what has arguably become one of the more iconic screen characters of the 21st century. It’s great to see old favorites like Winston (Ian McShane), Bowery King (Laurence Fishburne), and Charon (Lance Reddick) return, but the addition of new characters Caine (Donnie Yen), Mr. Nobody (Shamier Anderson), and the brutally cruel Marquis (Bill Skarsgård) breathes fresh life into the franchise.The story is weak and the performances not much better, but none of that matters if you’re a fan of pure action and cinematic spectacle. The stunt work (which is heavily influenced by martial arts) reaches absolute perfection, will impeccably choreographed fight sequences that are fresh, inventive, and exciting. The best of the best is a thrilling shootout in the middle of busy traffic by the Arc de Triomphe in Paris. It’s one of those scenes that makes you want to stand up and cheer.Director Chad Stahelski is an ex-stuntman himself, and he knows how to orchestrate exhilarating, handsome action sequences. This isn’t a film with rapid cutting where you can’t tell what is going on, and it’s a return to a classic style that should be welcomed by fans of the genre. You can clearly follow each blow to the body, every bloody gunshot to the head, and every sword through the back. Stahelski’s vision is as close to flawless as one can get, and this is a great looking movie from start to finish.Despite all of the things that are done right, the film’s excessive runtime makes it seem too indulgent. Even with the breathtaking fight choreography and stunt coordination, some of the action scenes go on so long that I started to lose interest. A few are repetitive and exhausting, but the short and well-placed breaks in the form of emotional storytelling bring a welcome respite and a bit of breathing room.“John Wick: Chapter 4” is a film that over promises yet over delivers for action fans. It’s one rousing, wild ride.**By: Louisa Moore / SCREEN ZEALOTS / WWW.SCREENZEALOTS.COM**",603692,screenzealots,8.0,Positive
"_John Wick: Chapter 4_ is explosive, nunchuck-bashing, bone-crunching cinematic ecstasy that allows action junkies to gorge on a buffet of bullet casings and broken necks.**Full review:** https://boundingintocomics.com/2023/03/29/john-wick-chapter-4-review-a-buffet-of-bullet-casings-and-broken-necks/",603692,ChrisSawin,8.0,Positive
"John Wick 4 is an absolute masterpiece of an action film. From start to finish, this movie delivers an adrenaline-fueled experience that will leave you breathless. The action is intense, with each fight scene being expertly choreographed and executed. The action set pieces are some of the most memorable I've ever seen, with each one being more jaw-dropping than the last.One of the standout aspects of John Wick 4 is the villains. This time around, they are more interesting than ever, with big-name actors bringing their A-game to their respective roles. It's always great to see veteran actors like Keanu Reeves and Laurence Fishburne on screen, but the addition of newcomers like Bill Skarsgard and Donnie Yen really elevates the movie.But perhaps the real star of John Wick 4 is the fight cinematography. The one-take fight scene that was filmed from overhead is a work of art. It's so seamless and fluid that you feel like you're right there in the middle of the action. The attention to detail in every fight scene is astounding, with each punch and kick feeling like it has real weight behind it.One slight negative of the movie is that John Wick doesn't have much development. However, this is a minor quibble, as the movie is so focused on delivering incredible action that the lack of character development doesn't really matter. After all, John Wick is at his best when he's kicking ass, and he certainly does that in spades in this movie.Overall, John Wick 4 is a fantastic entry in the series. The sense of finality that permeates throughout the movie is perfect, and it really feels like a fitting end to the story. If you're a fan of action movies, then John Wick 4 is an absolute must-see. It's a thrilling ride that will leave you on the edge of your seat from start to finish.Score: 93%Verdict: Excellent",603692,TitanGusang,9.0,Positive
"The John Wick franchise has now made it to its fourth and maybe final, film. The question is, is it any good?Simply put, its ""alright"". In much the same way, as its 2019 predecessor, was alright. The script in this kind of exposition driven, action fare does not, typically, change that much. A certain amount of creativity and thought, has gone into the stylised, highly choreographed action and violence.That said, after the first 30 or so minutes of unrelenting gun play/martial art, mash ups, it starts to feeling ""saturating."" I can see how the creators have tried to alleviate this feeling of repetition, by offering up differing locations, the use of exotic or special weapons but its simply, not enough. A more evolved story would have helped but regrettably, that was not on offer.In summary, by no means a poor film but not quite as remarkable, in my estimation, as some reviews would suggest. Still, a decent weekend watch, with your mates over a bag or two of chips and a few beers.",603692,MovieGuys,7.0,Positive
"**A beautiful woman doesn't mean a beautiful character**Ninehundredmillion (nearly a **billion!** obviously guarantees beautiful pictures - but does that guarantee a profound movie? No!Since _the Matrix_ Keanu Reeves was established as an action hero - yet he actually never delivered martial arts in a way professionals could relate to him in a way they can to Bruce Lee, Jason Stratham or Jackie Chan (who did perform their own stunts) could. Reeves - always somehow clumsy when fighting does kind of ""stagger"" through his shootings and the longer the movie goes on, the more disbelief has to be suspended (like when him shooting 46 shots with one round of 24 shots on the stairs up, where he conveniently kills 26 people). How many times he was run over I did not even bother to count, because it starts to become unbelievable by the third time.Would you consider Reeves to be worth $39.000 for each single word like ""yes"" or ""you"" he uttered ? I don't, because it is not his charisma which saves the movie but the never-ending shooting scenes which in the end make you go to the toilet in the midst of a scene knowing that ""_action is inaction and profound talks are rare here_"".",603692,tmdb42690476,1.0,Negative
"> he's but a ghost in search of a graveyardMarquis Vincent de GramontAAAAAAAAAAAAAAAAA !!!!!!!! PEAK !!!!!!!! CINEMA !!!!!!!!It's been a strange year for franchise filmmaking so far. While the very consistent dissatisfaction towards the mediocre MCU got even worse with the release of **Ant-Man and the Wasp: Quantumania** with that film being just flat-out boring and exhausting with the only saving grace being Kang, **Shazam: Fury of the Gods** being another one of DCEU projects which will soon cease to exist and **Scream VI** surprising literally everyone at being actually pretty fucking good even though it is the 6th film in a franchise following a near-dead sub-genre of slasher films, it has been quite a lot of misses for the franchises with only a few making above the cut. Therein comes along **John Wick: Chapter 4**, a film already set on an insane trajectory, wherein everyone’s favourite bruised protagonist has gotten to a supposedly even deeper tenth circle of hell when he tried to climb out of the ninth circle in the previous film.I was a bit, just a teeny little bit disappointed by the previous film i.e. Parabellum but, after seeing this film; it is in 100 years, the one thing that all film critics are going to agree on is that John Wick: Chapter 4 truly was peak cinema. Let’s just put all our cards on the (high) table. Yes, John Wick: Chapter 4 is 169 minutes long. Any one of its many (many) set pieces contains more action all by itself than most entire movies. This thing ain’t just a chapter. It’s a whole damn book; a glorious, nightmarish, biblical compendium which contains all manners of _**ass-kickery**_ and _**gun-fu**_. I’m just gonna come out and say it. This is the best cinematic experience I’ve had in a theatre for an action film in the last decade. This film absolutely floored me. Performances? **Peak**. Cinematography? **Double Peak**. Action Set Pieces? **Triple Peak**. Ending? **GOATED FR**.First of all, performances. If you told me 10 years ago that The Matrix films are going to remain as Keanu’s most consistent and better performances, I would’ve totally agreed with you. Cut to present day, my opinion is going to differ from yours. John Wick is officially the best and most consistent piece of his performances and this film makes that certain. Keanu is mostly silent in this film but then also you can feel everything his character is feeling at a certain moment which makes his performance all the more marvelous. He doesn’t have much dialogues in this film, probably like 15-20 lines in this film but each line is delivered in a way that John Wick (if he existed in real life) would say it. Ian McShane also gives quite a performance here. Amplifying Winston’s place as John’s father figure, he is what I would call, essentially the heart and soul of this film. Laurence Fishburne, although appears very briefly, does a good job and it’s always nice to see Neo and Morpheus just strolling around and talking. And ofcourse, I’m never going to get tired of seeing Hiroyuki Sanada in a film. He comes in, murders people left and right like a badass, and leaves like a king. The standouts to me though, are **Donnie Yen**, **Bill Skarsgård** and **Shamier Anderson**. All of these have never been introduced to the audience before this film and now that they have been, they completely steal the show. Donnie Yen essentially plays the Chinese version of daredevil who isn’t a lawyer but a hitman and doesn’t think twice before a kill. Loved him in the film and the ways Chad Stahelski (the director) uses his blindness throughout the film to show us some really interesting kills. Bill Skarsgård rises up as this franchise’s most menacing antagonist to date who will stop at nothing to get the job done. He plays a French billionaire and my god his accent is just the sexiest. The pronunciation of certain words in the French accent and his control over the table’s resources literally turned the City of Love into the City of Merciless Bloodshed. Shamier Anderson essentially plays what John Wick would’ve been in the younger days. A hitman who works for the highest payday and carries around an emotional support dog who does everything but.Now, the cinematography. This film was a visual spectacle. Everything, and I mean everything looks perfect. There isn’t a single shot in this film that feels dimly lit or out of tone. The work on display is truly fantastic here and I was just amazed at seeing the various color palettes this film uses. This film manages to be the darkest john wick film without sacrificing visual clarity. Every frame is lit up with just the perfect amount of colours suitable for setting the mood of the scene and when that transcends into a bloody action scene, the environment does nothing but enhance the hacking and slashing. I would be surprised if the academy doesn’t nominate this film for Best Production Design or Best Cinematography because _**THIS IS ART MR. WHITE!**_ (who am I kidding, this film is just going to get ignored because it’s a huge summer blockbuster).Where do I even begin with the action in this film. I was a bit worried as to how are they going to show me anything new after I’ve seen literally every possible fight scenario from the previous three films. I was so wrong. There isn’t much new substance here persay but the action here is so well-defined, so well-choreographed, so meticulously detailed, that you just forget that you’ve seen something like this before; and that is what great action films are supposed to do. Make you completely get immersed in the action and John Wick Chapter 4 doesn’t skip a beat.The Ending. Ughhhhhhh. The Ending for this film might just be a masterpiece. I am not gonna spoil it for you but trust me, when you see that ending sequence begin, you will be experiencing the greatest moments of cinematic history being unfolded. It isn’t a huge CGI bombastic action set-piece, instead, it subverts your expectations and becomes something completely different yet something very familiar. A perfect end to a perfect film.Go watch this film, you will not be disappointed.",603692,maybesarthak,10.0,Positive
"Far better than Chapter 3, but then it really couldn't be any worse, but still a far cry from Chapters 1 and 2. And why Donnie Yen agreed to play the same role he played in Rogue One is beyond me.",603692,Arcanum101,7.0,Positive
"Solid entry in the franchise with some great fight choreography which is to be expected at this point and while the story is thin and does clock in at 169 minutes, still found it entertaining and a fine conclusion. **4.0/5**",603692,JPV852,8.0,Positive
"A fun one!I had a terrific time watching 'Ant-Man and the Wasp: Quantumania' , despite hearing 'meh' things about it here and there online. It surpassed my expectations, to be honest. Great cast, entertaining action, super interesting world building (my favourite from the MCU for a while, in that regard) and the humour is good.Star of the show in my opinion is Michelle Pfeiffer. I don't recall her standing out in 'Ant-Man and the Wasp' , but here she's excellent from beginning to end. Elsewhere, Jonathan Majors is brilliant - great to see that guy all over the place recently. Paul Rudd remains a strong lead, while the likes of Michael Douglas and Kathryn Newton are positives too.Love the Quantum Realm setting. I'm nothing like an MCU nut, I'm only aware of the films, so didn't know what to expect, but the place looks fantastic - from the enviroment to the creatures; shoutout Veb. Like Pfeiffer, Corey Stoll didn't really register on my radar in prior films, but him as M.O.D.O.K. is a lot of fun.Looking at my personal MCU ranking, this goes in at no. 8 - I didn't anticipate that! A literal quick glance at the average rating on here suggests I'm in the minority but I truly found much enjoyment from this. Quite the improvement on Ant-Man 2, which is at the bottom of my aforementioned ranking.",640146,r96sk,9.0,Positive
worst movie. Even that much money - too much btw - for special effects cant hide Reed's lacking effort to build a believable world. It's a poor and passionless visual copy of something like Star Wars Mini... with minimal humor and zero originality. RIP Marvel.,640146,Pcorn'n'Spectacle,1.0,Negative
"When it comes to their Marvel properties, there’s this slightly morbid insistence by Disney to tie every teeny tiny detail of previous movies, television shows, and character arcs together in obsessive fashion. It’s becoming such an uncontrollable urge by the studio to engage in this behavior that the cause-and-effect is resulting in disasters like “Eternals,” “Thor: Love and Thunder,” and now, “Ant-Man and the Wasp: Quantumania.”Trying too hard to force a non-story into the already lame Ant-Man mythology, the film reunites superhero partners Scott Lang (Paul Rudd) and Hope Van Dyne (Evangeline Lilly) as Ant-Man and the Wasp. The pair find themselves thrust into the dangerous Quantum Realm along with Hope’s parents Hank Pym (Michael Douglas) and Janet Van Dyne (Michelle Pfeiffer), along with Scott’s teenage daughter, Cassie (Kathryn Newton). As they explore the unusual terrain and alien society filled with strange creatures, Janet reveals that she didn’t quite tell the group everything about the three decades she spent trapped in the realm. Facing new dangers from supervillan Kang the Conquerer (Jonathan Majors), the family must unite to stop a worldwide disaster.Very little about this project feels like a satisfying superhero movie and instead, it’s more like an assemblage of other (and far better) science fiction films. If not for the titanic budget and big-name stars, it could almost be mistaken for a Redbox “mockbuster” of “Star Wars,” “Mad Max,” “Avatar,” and “Godzilla” combined.The film takes place extensively in the Quantum Realm, which provides an unsightly setting of muted, dark brown, washed-out visuals. It’s an ugly place, so who why would audiences want to spend time there? The Realm is a melting pot of exotic creatures and peculiar inhabitants that appear to have waltzed right out of the Mos Eisley Cantina on Tatooine. They’re cool to look at I guess, but was the point to make the film more appealing to children, or was it Disney’s way of appeasing the animators by letting them have some fun?The first third of the film seems like it’s Janet’s show, as she keeps bringing up the fact that she has all these secrets that she won’t spill to Hope and Hank (even though they’re all stuck in the Realm together). There’s no compelling mystery nor reveal. Screenwriter Jeff Loveness is grasping at straws to craft a somewhat cohesive story while also struggling to make it fit into the MCU mythology. At some point, I wish someone would just make a damn standalone Marvel superhero movie and quit worrying about who and what goes where and how.The story is frequently erratic. There’s plenty of energetic CGI action, but there also some moments that play like a touching family drama, some that create an anti-climatic post-apocalyptic narrative, and lots of failed attempts at comic relief. The film also has recurring (and awkward) socially conscious messaging that doesn’t entirely feel out of place, but it is aggressive (there’s even a direct mention of socialism by one of the characters, which will really aggravate already-angry conservatives).The screenplay is peppered with dreadful one-liners like “it’s never too late to stop being a dick!” and “ants don’t give up!” I really, really wish I was joking about this.The remainder of the movie features a lot of talk about time, the desire to get home, and — Marvel fans, you know what’s coming — the multiverse! It’s that one little word that means endless movies, endless stories, and endless money. It’s also the easy way to guarantee that all of these films in the canon always have a cop-out to lazily excuse away any inconsistencies (not that many of us could keep up or remember anyway).Another major problem with the film is that it can only chug along on Rudd’s likeability (and the cast’s talent) for so long. It’s barely tolerable until Kang shows up, but he’s a wickedly delicious character portrayed by a terrific actor (it’s a real shame that this had to be the film for Majors’ MCU debut). In fact, the entire cast deserves better. Despite all of them turning in strong performances, they still feel mostly wasted here.“Ant-Man and the Wasp: Quantumania” lacks the memorable spectacle that most superhero films need in order to succeed. There’s no massively rousing, crowd-pleasing moment, and it’s one of the more unremarkable entries in the MCU.**By: Louisa Moore / SCREEN ZEALOTS**",640146,screenzealots,3.0,Negative
Honestly this is easily my favorite out of the series. Still funny as normal but there's a lot more action and cool looking stuff in this movie. Really good movie.,640146,SoSmooth1982,8.0,Positive
"This one was quite good actually. Marvel is quite a bit of hit and miss lately. It all depends on whether one of the woke retards has gotten their grubby hands on the script or not.It was of course encouraging that the woke “critics” on the well known rubbish site Rotten Tomatoes declared it rotten while it got a 82% score from the actual audience. Always a good sign for a movie.The movie is a pure adventure movie meant to entertain the audience. The script is decent and, as usual with a Marvel movie, serves mainly to create a reason for doing action sequences and lots and lots of special effects.The adventure is mixed in with some humor but it is generally okay and not overdone.The scenery in the quantum world is fantastic and the creatures are great ranging from terrifying to quite fun. Bringing in Bill Murray was a nice surprise even though he was a bit of a bad guy and quite short lived.The one character I really didn’t like was Paul Rudd as the Ant-Man. His anti-hero bullshit, reluctance to fight and generally being a douche until he was forced to actually do what was right was really grating on me.Overall though this was some well spent two hours.",640146,Dark Jedi,8.0,Positive
"FULL SPOILER-FREE REVIEW @ https://www.firstshowing.net/2023/review-spider-man-across-the-spider-verse-is-an-animated-work-of-art/""Spider-Man: Across the Spider-Verse is the epitome of incredibly detailed, gorgeously unique, undeniably epic animation within its medium. Separately from enjoying this movie or not, any or all cinephiles should bow to the ridiculously talented artists and animators behind this pure work of art.That said, the attributes and issues are more or less the same as the original. The various animation styles are overwhelmingly stunning, but also to the point of creating confusing moments. Gwen Stacy stands out from the rest of the pack – both the character and Hailee Steinfeld's voice performance – but everyone on screen is impressively captivating. The voice cast is superb all-around.An unfinished story – remember, this is the first of two parts – about what it really means to be a hero. The 140-minute runtime isn't exactly heavy, but the necessity to resort to exposition scenes is more frequent than in the previous flick, even though the narrative complexity ends up justifying this.A must-see movie in the cinema! Go support animation.""Rating: A-",569094,msbreviews,8.0,Positive
"And perhaps _Beyond the Spider-Verse_ will retroactively make Across’ story more enjoyable, but for now, the franchise’s flashy visuals are fully in controls of its web-shooters.As a stand alone feature, _Across the Spider-Verse_ is groundbreaking with its half-a-dozen animation styles and plethora of Spider-Men. The Spot is an insanely cool villain, Spider-Man 2099 is an anti-hero teetering on the verge of becoming a full-time villain, and Spider-Punk oozes overall awesomeness.But with the film sitting at 162 minutes and a sequel on the way in less than a year, the story ultimately feels like it’s stretched beyond its means.**Full review:** https://boundingintocomics.com/2023/06/07/spider-man-across-the-spider-verse-review-a-stunning-labyrinthine-benchmark-for-animation/",569094,ChrisSawin,7.0,Positive
"I don't know, but in my humble opinion, the punk Spider-Man really needed to look like Johnny Rotten, Sid Vicious, someone from the Sex Pistols. He sort of screamed them in the way he was depicted, right down to the multi-media used around him.They really missed an opportunity for if not a great pop culture reference, but at least an in-joke for the punk community. I mean, throw us a bone here. He spent half his time mocking us anyway (in a pretty hysterical way) at least give us the laugh when they do the face reveal.Anyway, it's not bad. Miles is less... boring in this cartoon than he is in the comics where he's developed the moniker ""Mild Morales."" He actually has more depth of character here and is forced to face some serious choices and turning points (Hey Marvel, you could learn a lesson here). But he also took a bit of a back seat to Stacey, who seemed to be the star of the show until there was an abrupt switch... which irritated me. It sort of screamed ensemble cast, but really it just shifter from one lead to the other a bit abruptly. As far as complaints go, that's pretty bare bones.It also gave Spidey 2099 a sort of bad spin despite being the most beloved of the 2099 line and the coolest costume design of any spider. So for us Gen-Xers, it sort of burned. At least I'm old enough to have been looking forward to his inclusion only to be a little disappointed. And I am still very upset over how Peter is portrayed, but they are slowly redeeming his character.Over-all though, it's not bad. It's better than just about all of the current Super-Hero movies and, honestly, it's probably the only cape franchise that people are still interested in... because it isn't totally political BS.",569094,GenerationofSwine,10.0,Positive
"I don’t have that much to say about “Spider-Man: Across the Spider-Verse”, the sequel to the equally terrific 2018 Oscar winning film “Spider-Man: Into the Spider-Verse,” except that it’s easily one of the best films of the year. It’s the type of achievement in animation that’s not only artistically skilled but also wildly entertaining. This is one of the most perfect pieces of animated cinema in years and even better, it’s aimed squarely at more sophisticated audiences of older kids, teens, and adults.Miles Morales (voice of Shameik Moore) is back for part two, and he’s happily fulfilling his duties as Brooklyn’s friendly neighborhood superhero. Miles finds himself joining forces with Gwen Stacy (voice of Hailee Steinfeld) and a new team of elite Spider heroes (featuring the voices of Jake Johnson, Karan Soni, Issa Rae, and others) from across the multiverse as they work together to fight off a powerful villain.The plot is complex, but the story is terrific. The parallel universes at play don’t feel like a gimmick, and there are real stakes for every character. There are strong messages about teamwork, friendship, power, and responsibility, and it’s nice to see more female representation in a film that prides itself on diversity and inclusion. The story is a little slow at the start, but things pick up ones Miles enters the picture. His relationship with Gwen is developed extensively here, and they’re a great onscreen duo.The film is computer-animated, and the visuals are nothing short of masterful. The animation is vibrant, skillfully executed, and absolutely stunning. This is the type of visual art that leaves your eyes begging for more. From the attention to detail to the choice of hues, there isn’t one misstep to be found.The story, however, has a few stumbles, and most of that stems from the overly long run time (2 hours, 20 minutes), the too-insider Easter egg references for diehard comic fans, and the irritating cliffhanger ending that is so obnoxious that it almost ruins everything that came before. Thank goodness the rest of the movie is so much fun.“Spider-Man: Across the Spider-Verse” is the type of film that proves animation isn’t just for kids, and it’s certainly not a throwaway medium that deserves to be dismissed. It’s an action-packed, visually dazzling, frentic, and outrageously fun piece of cinema. Go see it.By: Louisa Moore",569094,screenzealots,9.0,Positive
Incredible non stop action movie,569094,ElbekAzimjonov7,10.0,Positive
"The very definition of moronic. Loud, obnoxious, cheesy characterisations, idiotic back story and enough bling to make you wince. The only vaguely redeeming quality is the polish and money spent on the over the top, at times novel, action scenes but that's not really saying much, in the wider context of awfulness, this represents.I'm not sure who the demographic for this flick is? I would have thought people were more evolved, as a species but well.....In summary, just dumb, that's really all needs be said.....",385687,MovieGuys,2.0,Negative
